image,pattern,psnr
0215x2.png,box,23.325594
0215x2.png,random,23.845789
0215x2.png,legendre,23.7477
0216x2.png,box,21.197754
0216x2.png,random,20.891045
0216x2.png,legendre,21.171875
0217x2.png,box,24.070286
0217x2.png,random,24.26677
0217x2.png,legendre,22.897266
0218x2.png,box,21.920736
0218x2.png,random,22.857483
0218x2.png,legendre,24.052086
0219x2.png,box,20.201414
0219x2.png,random,21.69544
0219x2.png,legendre,22.523666
0220x2.png,box,21.821526
0220x2.png,random,23.195187
0220x2.png,legendre,23.332245
0221x2.png,box,20.69399
0221x2.png,random,21.6072
0221x2.png,legendre,22.387121
0222x2.png,box,21.844048
0222x2.png,random,21.609665
0222x2.png,legendre,22.061642
0223x2.png,box,23.673782
0223x2.png,random,23.3829
0223x2.png,legendre,23.5584
0224x2.png,box,21.744503
0224x2.png,random,22.806032
0224x2.png,legendre,22.253601
0225x2.png,box,21.678713
0225x2.png,random,22.878937
0225x2.png,legendre,22.712286
0226x2.png,box,23.239693
0226x2.png,random,23.7551
0226x2.png,legendre,23.520765
0227x2.png,box,22.63398
0227x2.png,random,22.837458
0227x2.png,legendre,21.616169
0228x2.png,box,22.771248
0228x2.png,random,22.635508
0228x2.png,legendre,22.1673
0229x2.png,box,22.917404
0229x2.png,random,22.654314
0229x2.png,legendre,22.893734
0230x2.png,box,22.274092
0230x2.png,random,22.523748
0230x2.png,legendre,22.901806
0231x2.png,box,23.307678
0231x2.png,random,24.720984
0231x2.png,legendre,25.033943
0232x2.png,box,22.555302
0232x2.png,random,22.587034
0232x2.png,legendre,23.04697
0233x2.png,box,22.048456
0233x2.png,random,22.827187
0233x2.png,legendre,22.63402
0234x2.png,box,23.044546
0234x2.png,random,24.936125
0234x2.png,legendre,24.645422
0235x2.png,box,22.547514
0235x2.png,random,22.71351
0235x2.png,legendre,23.123705
0236x2.png,box,23.399036
0236x2.png,random,23.102304
0236x2.png,legendre,23.250786
0237x2.png,box,20.859205
0237x2.png,random,21.793007
0237x2.png,legendre,21.81696
0238x2.png,box,24.138847
0238x2.png,random,24.344696
0238x2.png,legendre,23.516499
0239x2.png,box,23.141157
0239x2.png,random,23.571156
0239x2.png,legendre,24.372421
0240x2.png,box,22.281721
0240x2.png,random,23.474314
0240x2.png,legendre,23.024351
0241x2.png,box,25.27796
0241x2.png,random,25.318718
0241x2.png,legendre,24.15017
0242x2.png,box,21.144413
0242x2.png,random,22.9435
0242x2.png,legendre,22.12774
0243x2.png,box,22.280264
0243x2.png,random,23.236126
0243x2.png,legendre,22.809086
0244x2.png,box,20.684765
0244x2.png,random,20.72529
0244x2.png,legendre,20.674343
0245x2.png,box,20.839958
0245x2.png,random,21.306309
0245x2.png,legendre,21.057095
0246x2.png,box,21.700989
0246x2.png,random,21.709404
0246x2.png,legendre,22.030325
0247x2.png,box,22.40313
0247x2.png,random,25.00166
0247x2.png,legendre,22.292706
0248x2.png,box,19.513927
0248x2.png,random,22.562
0248x2.png,legendre,21.967804
0249x2.png,box,20.490076
0249x2.png,random,22.843868
0249x2.png,legendre,22.27524
0250x2.png,box,23.307838
0250x2.png,random,22.931707
0250x2.png,legendre,23.805292
0251x2.png,box,25.595053
0251x2.png,random,26.143648
0251x2.png,legendre,25.836935
0252x2.png,box,24.21625
0252x2.png,random,25.422323
0252x2.png,legendre,24.98079
0253x2.png,box,23.616432
0253x2.png,random,23.077868
0253x2.png,legendre,23.5383
0254x2.png,box,21.45391
0254x2.png,random,22.822357
0254x2.png,legendre,22.411388
0255x2.png,box,21.623035
0255x2.png,random,22.592346
0255x2.png,legendre,21.783142
0256x2.png,box,24.24299
0256x2.png,random,26.090054
0256x2.png,legendre,25.148197
0257x2.png,box,20.906944
0257x2.png,random,21.634857
0257x2.png,legendre,22.550636
0258x2.png,box,21.58925
0258x2.png,random,23.191341
0258x2.png,legendre,22.925264
0259x2.png,box,23.352947
0259x2.png,random,23.456364
0259x2.png,legendre,22.624788
0260x2.png,box,22.079775
0260x2.png,random,22.60765
0260x2.png,legendre,21.874865
0261x2.png,box,22.087248
0261x2.png,random,22.836058
0261x2.png,legendre,21.402966
0262x2.png,box,22.624912
0262x2.png,random,23.25877
0262x2.png,legendre,22.814468
0263x2.png,box,24.300144
0263x2.png,random,25.044952
0263x2.png,legendre,24.663618
0264x2.png,box,22.738573
0264x2.png,random,21.997345
0264x2.png,legendre,22.33833
0265x2.png,box,20.78574
0265x2.png,random,21.871124
0265x2.png,legendre,22.371979
0266x2.png,box,24.434216
0266x2.png,random,25.105064
0266x2.png,legendre,24.918253
0267x2.png,box,20.341331
0267x2.png,random,19.87057
